TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.239	69.991	-135.156	-1.571	0.000	3.141	0	0.004	52.605	-6.479	-7.566	0.238	-0.048	0.098	-0.333	-0.985	1.596	-0.439	-0.031	0.021	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.06638	0.00010	0.00011	449.297	69.972	-135.131	-1.571	0.000	3.142	233	-0.156	52.644	-6.544	-7.526	0.239	-0.029	0.090	-0.152	-1.104	1.423	-0.530	-0.112	0.000	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.11158	0.00016	0.00018	449.404	69.951	-135.107	-1.571	0.000	-3.142	515	0.046	52.586	-6.428	-7.538	0.247	-0.027	0.104	-0.186	-1.074	1.346	-0.529	-0.098	-0.000	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
2.37842	0.00342	0.00016	449.424	67.573	-135.113	-1.571	0.000	-3.141	701	-0.339	52.559	-6.769	-7.375	0.557	0.145	0.150	-0.988	-1.723	1.498	-0.905	0.225	0.168	-0.145	0.997	0.355	-1.861	-0.782	0.427	-0.783	
6.99495	0.02056	0.00030	449.413	60.578	-135.109	-1.571	0.000	-3.141	982	0.009	52.654	-6.403	-7.418	0.520	0.118	0.120	-0.696	-1.907	1.416	-1.065	0.081	0.141	-0.161	0.997	0.355	-1.864	-0.785	0.425	-0.795	
0.58859	0.00487	0.00043	449.329	59.996	-135.138	-1.571	0.000	-3.142	1204	1.139	52.469	-5.873	-7.326	0.590	0.098	0.166	-0.648	-1.782	1.310	-0.973	0.099	0.127	-0.165	0.997	0.355	-1.865	-0.786	0.425	-0.798	
4.73282	0.01039	0.00039	449.476	55.266	-135.109	-1.571	0.000	-3.141	1462	0.130	52.505	-6.385	-7.344	0.619	0.132	0.147	-0.964	-1.965	1.562	-1.043	0.239	0.176	-0.173	0.996	0.355	-1.866	-0.787	0.424	-0.805	
5.43759	0.01905	0.00058	449.245	49.833	-135.107	-1.571	-0.000	3.141	1745	0.195	52.527	-6.355	-7.401	0.556	0.135	0.109	-0.430	-1.960	1.204	-1.136	-0.068	0.115	-0.188	0.995	0.355	-1.869	-0.789	0.423	-0.816	
0.39607	0.00023	0.00020	449.362	49.455	-135.090	-1.571	-0.000	-3.142	1962	0.226	52.629	-6.331	-7.330	0.628	0.140	0.145	-0.656	-1.906	1.537	-1.042	0.130	0.181	-0.188	0.995	0.355	-1.869	-0.789	0.423	-0.816	
6.89001	0.01831	0.00017	449.404	42.565	-135.108	-1.571	0.000	-3.141	2242	-1.005	52.537	-7.119	-7.112	0.586	0.175	0.132	-1.273	-1.836	1.581	-0.950	0.400	0.199	-0.201	0.995	0.355	-1.871	-0.791	0.422	-0.828	
2.63680	0.01120	0.00016	449.439	39.929	-135.072	-1.570	-0.000	-3.141	2523	0.399	52.352	-6.314	-7.316	0.557	0.129	0.120	-0.622	-1.901	1.108	-1.063	0.032	0.126	-0.210	0.995	0.355	-1.872	-0.793	0.421	-0.835	
2.38639	0.00338	0.00024	449.386	37.544	-135.126	-1.571	0.000	-3.142	2712	0.296	52.442	-6.550	-7.251	0.617	0.167	0.138	-1.281	-1.864	1.681	-0.966	0.398	0.197	-0.212	0.995	0.355	-1.872	-0.793	0.421	-0.837	
6.97789	0.02144	0.00024	449.290	30.566	-135.121	-1.571	-0.000	3.141	2995	0.046	52.359	-6.447	-7.245	0.564	0.149	0.119	-1.014	-1.917	1.607	-1.003	0.277	0.171	-0.228	0.994	0.355	-1.874	-0.795	0.421	-0.851	
0.60991	0.00519	0.00042	449.389	29.966	-135.086	-1.570	0.000	-3.141	3239	1.058	52.361	-6.023	-7.319	0.592	0.097	0.156	-0.983	-1.685	1.664	-0.824	0.301	0.173	-0.232	0.994	0.355	-1.874	-0.795	0.420	-0.855	
4.82477	0.01100	0.00032	449.323	25.141	-135.102	-1.571	0.000	-3.142	3506	0.511	52.373	-6.306	-7.204	0.611	0.139	0.143	-1.226	-1.806	1.683	-0.912	0.434	0.208	-0.241	0.994	0.355	-1.875	-0.796	0.420	-0.862	
5.23544	0.01936	0.00021	449.444	19.907	-135.102	-1.571	0.000	-3.141	3790	0.301	52.389	-6.385	-7.262	0.564	0.140	0.104	-0.780	-1.954	1.406	-1.027	0.151	0.141	-0.255	0.994	0.355	-1.876	-0.797	0.419	-0.875	
0.27535	0.00016	0.00004	449.437	19.632	-135.093	-1.571	0.000	-3.141	3991	0.324	52.260	-6.547	-7.075	0.592	0.151	0.153	-1.411	-1.765	1.703	-0.852	0.501	0.211	-0.255	0.994	0.355	-1.876	-0.797	0.419	-0.875	
6.86634	0.01831	0.00028	449.377	12.766	-135.122	-1.571	-0.000	3.142	4273	-1.308	52.338	-7.359	-7.074	0.594	0.196	0.143	-1.587	-1.743	1.803	-0.819	0.601	0.225	-0.268	0.994	0.355	-1.876	-0.797	0.419	-0.888	
2.85210	0.01249	0.00027	449.277	9.916	-135.126	-1.570	-0.000	3.141	4554	0.538	52.309	-6.311	-7.223	0.560	0.134	0.121	-0.854	-1.856	1.389	-0.976	0.187	0.148	-0.277	0.993	0.355	-1.877	-0.798	0.419	-0.896	
2.51437	0.00405	0.00026	449.350	7.403	-135.105	-1.571	-0.000	3.142	4759	0.633	52.454	-6.315	-7.134	0.586	0.123	0.151	-1.422	-1.658	1.782	-0.773	0.570	0.221	-0.280	0.993	0.355	-1.877	-0.798	0.419	-0.899	
6.91728	0.02180	0.00021	449.265	0.486	-135.105	-1.570	-0.000	3.141	5037	0.168	52.427	-6.456	-7.223	0.560	0.143	0.108	-1.450	-1.752	1.793	-0.832	0.541	0.191	-0.296	0.993	0.355	-1.877	-0.798	0.419	-0.914	
0.54171	0.00536	0.00013	449.284	-0.055	-135.095	-1.570	-0.000	3.142	5259	1.023	52.227	-6.083	-7.276	0.526	0.108	0.136	-1.284	-1.641	1.742	-0.783	0.501	0.184	-0.299	0.993	0.355	-1.877	-0.798	0.419	-0.918	
4.80821	0.01143	0.00030	449.323	-4.863	-135.102	-1.571	0.000	3.142	5520	0.563	52.376	-6.485	-7.212	0.372	0.110	0.158	-1.664	-1.316	1.942	-0.521	0.763	0.191	-0.307	0.993	0.355	-1.877	-0.798	0.419	-0.926	
5.21690	0.02031	0.00019	449.372	-10.080	-135.125	-1.571	0.000	-3.142	5806	0.437	52.290	-6.348	-7.284	0.327	0.112	0.110	-0.878	-1.331	1.563	-0.609	0.355	0.094	-0.322	0.993	0.355	-1.877	-0.798	0.419	-0.941	
0.29253	0.00017	0.00002	449.375	-10.372	-135.131	-1.571	0.000	-3.142	6009	0.582	52.320	-6.359	-7.289	0.300	0.083	0.141	-1.203	-1.117	1.843	-0.438	0.591	0.168	-0.322	0.993	0.355	-1.877	-0.797	0.419	-0.941	
6.76493	0.01913	0.00029	449.482	-17.136	-135.098	-1.571	0.000	-3.141	6288	-1.213	52.356	-7.344	-7.067	0.217	0.050	0.135	-2.243	-0.689	2.372	-0.054	1.146	0.153	-0.335	0.994	0.355	-1.876	-0.797	0.419	-0.955	
2.86704	0.01303	0.00007	449.529	-20.003	-135.098	-1.571	0.000	-3.141	6570	0.979	52.165	-6.120	-7.299	0.244	-0.004	0.104	-0.957	-0.955	1.760	-0.313	0.430	0.060	-0.344	0.994	0.355	-1.875	-0.796	0.419	-0.964	
2.48569	0.00408	0.00008	449.468	-22.488	-135.102	-1.571	0.000	-3.141	6773	0.641	52.268	-6.458	-7.415	0.208	-0.015	0.152	-1.719	-0.564	2.120	-0.005	0.931	0.136	-0.346	0.994	0.355	-1.875	-0.796	0.419	-0.967	
6.97703	0.02351	0.00031	449.363	-29.464	-135.158	-1.571	0.000	-3.142	7057	0.409	52.336	-6.422	-7.307	0.237	0.003	0.096	-1.376	-0.561	2.108	-0.015	0.741	0.107	-0.362	0.994	0.355	-1.874	-0.795	0.420	-0.984	
0.55585	0.00508	0.00020	449.353	-30.020	-135.141	-1.571	0.000	3.141	7272	2.594	52.451	-5.426	-7.601	0.245	-0.039	0.132	-0.874	-0.862	1.817	-0.263	0.454	0.073	-0.366	0.994	0.355	-1.874	-0.794	0.420	-0.988	
3.72255	0.00817	0.00036	449.438	-33.741	-135.112	-1.571	0.000	-3.141	7493	1.054	52.466	-6.244	-7.614	0.211	-0.082	0.115	-1.683	-0.345	2.146	0.141	0.956	0.128	-0.371	0.994	0.355	-1.873	-0.794	0.420	-0.994	
6.30489	0.02311	0.00023	449.322	-40.045	-135.145	-1.571	0.000	3.142	7774	0.629	52.172	-6.341	-7.318	0.225	-0.086	0.102	-1.228	-0.490	1.987	0.010	0.664	0.101	-0.386	0.995	0.355	-1.872	-0.792	0.421	-1.011	
0.02629	0.00185	0.00025	449.345	-40.034	-135.151	-1.571	0.000	3.142	7975	0.508	52.094	-6.451	-7.352	0.181	-0.105	0.117	-2.035	-0.258	2.135	0.212	1.140	0.158	-0.387	0.995	0.355	-1.872	-0.792	0.421	-1.013	
6.08741	0.01631	0.00016	449.254	-46.121	-135.158	-1.571	0.000	3.141	8260	-0.073	52.568	-6.849	-7.358	0.180	-0.080	0.121	-2.103	-0.302	2.283	0.239	1.227	0.156	-0.398	0.995	0.355	-1.870	-0.791	0.422	-1.025	
3.85040	0.01742	0.00031	449.343	-49.970	-135.169	-1.571	0.000	-3.142	8542	0.516	52.500	-6.389	-7.474	0.226	-0.087	0.073	-1.253	-0.576	1.787	-0.025	0.658	0.080	-0.409	0.996	0.355	-1.869	-0.789	0.423	-1.038	
1.36536	0.00110	0.00030	449.372	-51.334	-135.127	-1.571	0.000	-3.141	8745	0.885	52.453	-6.465	-7.426	0.162	-0.100	0.133	-2.372	-0.443	2.384	0.214	1.336	0.150	-0.410	0.996	0.355	-1.869	-0.789	0.423	-1.039	
7.04584	0.02332	0.00015	449.317	-58.380	-135.143	-1.571	0.000	-3.142	9025	0.751	52.307	-6.252	-7.425	0.210	-0.111	0.105	-1.037	-0.431	2.175	0.111	0.747	0.113	-0.425	0.996	0.355	-1.866	-0.786	0.424	-1.057	
1.59803	0.00963	0.00024	449.242	-59.976	-135.173	-1.571	0.000	3.141	9306	1.907	52.431	-5.840	-7.619	0.219	-0.119	0.125	-1.375	-0.667	1.982	-0.031	0.781	0.080	-0.430	0.997	0.355	-1.865	-0.785	0.425	-1.064	
2.06617	0.00483	0.00034	449.405	-62.035	-135.117	-1.571	0.000	-3.141	9538	0.558	52.317	-6.530	-7.454	0.170	-0.097	0.114	-1.904	-0.301	2.363	0.216	1.176	0.139	-0.434	0.997	0.355	-1.864	-0.785	0.425	-1.068	
3.10461	0.01201	0.00031	449.350	-65.139	-135.135	-1.571	-0.000	3.141	9820	0.613	52.430	-6.431	-7.613	0.193	-0.076	0.067	-1.335	-0.685	2.068	-0.028	0.757	0.073	-0.441	0.997	0.355	-1.863	-0.783	0.426	-1.077	
0.12202	0.00073	0.00542	449.251	-65.071	-135.157	-1.565	-0.000	3.141	10056	0.519	52.599	-6.469	-7.609	0.204	0.004	0.121	-1.452	-0.802	2.047	-0.127	0.853	0.125	-0.441	0.997	0.355	-1.863	-0.783	0.426	-1.078	
0.15033	0.15802	0.19941	449.362	-64.973	-135.132	-1.366	0.000	3.142	10337	0.436	52.533	-6.475	-7.562	0.432	0.034	0.039	-0.861	-1.256	1.729	-0.440	0.508	0.141	-0.441	0.997	0.355	-1.863	-0.783	0.426	-1.236	
0.15397	0.22056	0.18518	449.467	-64.865	-135.100	-1.181	0.000	-3.141	10617	0.402	52.506	-6.451	-7.540	0.337	0.040	0.072	-0.425	-1.407	1.616	-0.540	0.254	0.097	-0.441	0.997	0.355	-1.863	-0.783	0.426	-1.456	
0.01945	0.01329	0.00282	449.485	-64.870	-135.094	-1.178	0.000	-3.141	10831	0.514	52.244	-6.588	-7.498	0.157	-0.109	0.163	-2.005	-1.346	1.959	-0.353	1.377	0.182	-0.441	0.997	0.355	-1.863	-0.783	0.426	-1.469	
6.12042	0.02280	0.00033	451.688	-70.580	-135.110	-1.178	0.000	-3.142	11115	-0.590	52.981	-7.430	-7.503	0.151	-0.097	0.140	-1.469	-0.996	2.313	-0.207	1.100	0.147	-0.449	0.999	0.355	-1.856	-0.776	0.430	-1.487	
3.78956	0.02293	0.00010	453.162	-74.071	-135.129	-1.178	0.000	-3.142	11395	0.618	53.035	-6.491	-7.794	0.221	-0.042	0.082	-0.955	-1.283	1.940	-0.398	0.713	0.093	-0.458	1.001	0.355	-1.848	-0.768	0.434	-1.505	
1.39864	0.00125	0.00049	453.843	-75.290	-135.046	-1.178	-0.000	-3.141	11584	0.632	53.047	-6.800	-7.619	0.151	-0.124	0.148	-1.881	-1.106	2.517	-0.257	1.363	0.176	-0.458	1.001	0.355	-1.847	-0.768	0.434	-1.506	
7.12202	0.03159	0.00070	456.336	-81.961	-135.124	-1.178	0.000	3.141	11865	1.039	53.410	-6.355	-8.092	0.217	-0.120	0.087	-1.173	-1.189	2.354	-0.282	0.988	0.146	-0.469	1.004	0.355	-1.836	-0.757	0.441	-1.530	
1.49966	0.01246	0.00011	456.930	-83.338	-135.156	-1.178	0.000	3.141	12108	1.511	53.080	-6.174	-8.379	0.193	-0.114	0.148	-1.155	-1.188	2.045	-0.315	0.861	0.115	-0.474	1.006	0.355	-1.832	-0.753	0.443	-1.539	
2.28954	0.00748	0.00034	457.921	-85.402	-135.150	-1.178	0.000	-3.141	12350	0.566	53.484	-6.821	-8.227	0.190	-0.077	0.148	-1.635	-1.151	2.082	-0.295	1.211	0.161	-0.476	1.006	0.355	-1.829	-0.750	0.445	-1.545	
2.82195	0.01494	0.00028	458.938	-88.034	-135.128	-1.178	0.000	3.142	12631	0.543	53.675	-6.711	-8.144	0.268	-0.034	0.112	-1.064	-1.417	1.896	-0.462	0.776	0.135	-0.481	1.008	0.355	-1.823	-0.745	0.448	-1.556	
0.13896	0.00015	0.00408	458.839	-87.939	-135.148	-1.174	0.000	3.141	12818	0.566	53.653	-6.623	-8.275	0.528	0.077	0.143	-0.693	-1.584	1.763	-0.564	0.578	0.165	-0.481	1.008	0.355	-1.824	-0.745	0.448	-1.556	
0.67438	0.15036	0.19586	458.721	-87.275	-135.125	-0.978	-0.000	-3.141	13099	0.231	53.443	-6.560	-7.989	0.541	0.063	0.117	0.668	-1.555	1.369	-0.562	-0.371	0.170	-0.481	1.008	0.355	-1.824	-0.746	0.447	-1.707	
0.68108	0.22127	0.18923	458.442	-86.655	-135.095	-0.789	-0.000	-3.142	13379	0.218	53.566	-6.588	-8.097	0.501	0.083	0.082	0.979	-1.428	1.457	-0.493	-0.530	0.126	-0.479	1.007	0.355	-1.826	-0.748	0.447	-1.928	
0.04153	0.01580	0.00373	458.482	-86.662	-135.091	-0.785	-0.000	-3.141	13603	1.238	53.376	-6.502	-8.205	0.192	-0.107	0.176	-0.189	-1.538	2.244	-0.588	0.444	0.155	-0.479	1.007	0.355	-1.826	-0.748	0.446	-1.944	
6.38296	0.02753	0.00009	463.010	-91.162	-135.094	-0.785	-0.000	-3.141	13894	0.274	53.676	-6.943	-7.432	0.141	-0.180	0.131	-1.081	-1.835	1.807	-0.806	1.106	0.191	-0.484	1.011	0.355	-1.813	-0.736	0.454	-1.963	
3.53911	0.02463	0.00009	465.504	-93.672	-135.103	-0.785	-0.000	-3.141	14177	1.036	53.880	-6.453	-8.661	0.270	-0.094	0.114	-0.402	-1.600	1.803	-0.632	0.551	0.111	-0.488	1.015	0.355	-1.801	-0.725	0.461	-1.979	
2.89588	0.00841	0.00005	467.538	-95.734	-135.094	-0.785	-0.000	-3.142	14411	0.816	54.302	-6.552	-8.727	0.217	-0.139	0.180	-1.223	-1.802	2.160	-0.808	1.100	0.186	-0.489	1.016	0.355	-1.796	-0.722	0.463	-1.985	
6.76348	0.03550	0.00027	472.280	-100.556	-135.134	-0.785	0.000	3.141	14693	0.745	54.593	-6.646	-8.923	0.252	-0.082	0.112	-0.826	-2.050	1.964	-0.831	0.812	0.150	-0.494	1.021	0.355	-1.779	-0.707	0.473	-2.009	
0.19841	0.00662	0.00018	472.415	-100.702	-135.133	-0.785	0.000	3.141	14923	0.794	54.735	-6.671	-8.770	0.228	-0.149	0.150	-0.576	-1.920	2.082	-0.823	0.854	0.170	-0.495	1.022	0.355	-1.775	-0.705	0.475	-2.013	
3.34871	0.01369	0.00015	474.741	-103.110	-135.140	-0.785	0.000	3.141	15210	0.265	54.465	-7.030	-8.417	0.194	-0.132	0.134	-1.234	-1.902	2.229	-0.850	1.083	0.184	-0.498	1.024	0.355	-1.768	-0.699	0.479	-2.022	
1.68150	0.01127	0.00015	475.950	-104.279	-135.125	-0.785	0.000	3.141	15491	0.706	55.117	-6.716	-9.174	0.258	-0.071	0.144	-0.384	-1.815	2.055	-0.761	0.571	0.127	-0.499	1.026	0.355	-1.762	-0.695	0.482	-2.030	
0.06904	0.02001	0.04377	475.889	-104.248	-135.123	-0.742	0.000	3.141	15694	0.609	55.108	-6.737	-8.896	0.442	-0.018	0.242	0.287	-1.975	1.819	-0.843	0.179	0.178	-0.499	1.026	0.355	-1.762	-0.695	0.482	-2.050	
0.41032	0.23201	0.25392	475.697	-103.886	-135.096	-0.488	-0.000	-3.141	15975	0.466	55.091	-6.657	-8.937	0.517	0.034	0.118	1.244	-1.527	1.751	-0.601	-0.390	0.172	-0.499	1.026	0.355	-1.763	-0.696	0.482	-2.282	
0.11911	0.13819	0.09499	475.679	-103.773	-135.129	-0.393	-0.000	-3.141	16254	0.442	55.021	-6.696	-8.929	0.493	0.046	0.083	1.341	-1.394	1.721	-0.516	-0.437	0.138	-0.499	1.026	0.355	-1.764	-0.697	0.481	-2.420	
1.55227	0.00194	0.00016	477.108	-104.379	-135.092	-0.393	-0.000	-3.141	16474	0.411	55.069	-6.692	-9.510	0.238	-0.103	0.109	0.269	-0.901	1.528	-0.412	0.210	0.069	-0.499	1.026	0.355	-1.763	-0.696	0.481	-2.421	
7.00411	0.03571	0.00011	483.574	-107.071	-135.114	-0.393	-0.000	-3.141	16756	0.637	55.581	-6.612	-9.567	0.289	-0.093	0.082	0.775	-0.678	1.600	-0.232	-0.013	0.050	-0.498	1.033	0.355	-1.741	-0.680	0.494	-2.441	
1.31155	0.01314	0.00021	484.778	-107.591	-135.139	-0.393	-0.000	-3.142	16993	0.453	54.935	-6.538	-10.203	0.229	-0.143	0.116	0.807	-0.871	1.508	-0.339	-0.044	0.060	-0.498	1.035	0.355	-1.733	-0.675	0.498	-2.448	
3.89503	0.01379	0.00014	488.388	-109.052	-135.165	-0.393	-0.000	-3.141	17226	0.147	55.897	-6.876	-9.376	0.176	-0.146	0.120	0.628	-0.597	1.611	-0.179	-0.004	0.036	-0.498	1.038	0.355	-1.725	-0.669	0.503	-2.455	
6.04433	0.03399	0.00040	493.940	-111.441	-135.142	-0.393	0.000	3.141	17506	0.254	56.229	-6.797	-9.898	0.277	-0.068	0.047	0.977	-0.483	1.623	-0.115	-0.202	0.008	-0.497	1.044	0.355	-1.703	-0.655	0.515	-2.473	
0.06557	0.00202	0.00016	493.881	-111.419	-135.125	-0.393	0.000	3.141	17696	0.089	56.838	-6.864	-9.939	0.204	-0.196	0.114	0.518	-0.696	1.365	-0.240	0.056	0.044	-0.497	1.045	0.355	-1.702	-0.654	0.516	-2.474	
6.07326	0.02407	0.00004	499.491	-113.745	-135.159	-0.393	0.000	3.141	17975	0.102	57.011	-6.839	-10.170	0.260	-0.094	0.113	0.463	-0.385	1.039	-0.082	0.037	0.032	-0.497	1.050	0.355	-1.687	-0.645	0.525	-2.486	
3.84297	0.02504	0.00017	503.044	-115.210	-135.172	-0.393	0.000	3.141	18256	0.148	57.340	-6.926	-10.342	0.306	-0.049	0.065	0.895	-0.280	1.160	-0.035	-0.195	0.028	-0.496	1.055	0.355	-1.670	-0.636	0.534	-2.499	
1.30121	0.00150	0.00065	504.255	-115.677	-135.073	-0.393	-0.000	-3.142	18456	0.399	57.783	-6.151	-11.085	0.433	-0.076	0.065	0.511	-0.342	1.558	-0.053	-0.003	0.017	-0.496	1.056	0.355	-1.669	-0.635	0.534	-2.499	
2.99647	0.01726	0.00104	507.054	-116.726	-135.276	-0.392	0.001	3.141	18735	4.376	60.447	-2.578	-14.130	1.432	-0.013	-0.088	-4.263	-6.189	0.935	-0.371	0.222	-0.115	-0.496	1.060	0.355	-1.658	-0.629	0.541	-2.508	
0.67589	0.00531	0.00035	507.655	-117.028	-135.214	-0.392	0.000	3.142	18946	5.404	62.981	-1.855	-14.648	1.572	-0.167	-0.099	-5.237	-8.480	2.549	-0.686	0.288	-0.131	-0.495	1.061	0.355	-1.655	-0.627	0.543	-2.510	
7.05157	0.01269	0.00110	507.079	-116.994	-128.186	-0.393	-0.001	-3.142	19177	0.788	57.784	-6.521	-11.815	0.381	-0.049	0.112	-0.638	-4.191	2.267	-0.631	0.074	0.013	-0.496	1.052	0.355	-1.659	-0.620	0.545	-2.514	
20.64572	0.07598	0.00040	503.919	-115.773	-107.820	-0.393	-0.000	3.141	19457	0.522	56.297	-6.296	-11.038	0.316	-0.056	0.094	1.713	-0.615	1.820	-0.166	-0.341	0.032	-0.496	1.000	0.354	-1.687	-0.582	0.561	-2.539	
2.67150	0.02027	0.00048	503.420	-115.349	-105.230	-0.393	0.000	-3.142	19740	0.184	56.285	-6.596	-11.381	0.328	-0.034	-0.097	1.291	-0.580	1.769	-0.145	-0.345	0.015	-0.495	0.987	0.355	-1.695	-0.571	0.565	-2.546	
0.17400	0.04020	0.07147	503.523	-115.407	-105.103	-0.464	-0.000	-3.142	19971	0.039	56.421	-6.620	-11.225	-0.129	-0.166	0.449	1.630	-0.624	1.762	-0.083	-0.562	-0.094	-0.495	0.987	0.355	-1.695	-0.571	0.565	-2.505	
0.02430	0.31371	0.35644	503.532	-115.384	-105.102	-0.821	-0.000	-3.142	20254	0.206	56.327	-6.612	-11.227	0.210	-0.064	-0.110	1.070	-1.336	1.670	-0.366	-0.424	-0.070	-0.495	0.987	0.355	-1.695	-0.571	0.565	-2.192	
0.00237	0.43653	0.43619	503.531	-115.382	-105.102	-1.257	-0.000	-3.141	20533	0.114	56.329	-6.598	-11.282	0.329	-0.063	-0.003	0.569	-1.588	1.718	-0.505	-0.331	-0.096	-0.495	0.987	0.355	-1.695	-0.571	0.565	-1.755	
0.01002	0.44430	0.43902	503.530	-115.372	-105.102	-1.696	-0.000	-3.141	20814	0.172	56.414	-6.605	-11.318	0.370	-0.041	-0.031	-0.112	-1.764	1.669	-0.672	-0.107	-0.125	-0.495	0.987	0.355	-1.695	-0.571	0.565	-1.311	
0.01442	0.30087	0.25298	503.520	-115.361	-105.102	-1.949	-0.000	-3.141	21096	0.187	56.379	-6.591	-11.278	0.261	-0.051	-0.054	-0.436	-1.612	1.799	-0.595	0.061	-0.123	-0.495	0.987	0.355	-1.695	-0.571	0.565	-1.010	
0.00573	0.03498	0.01449	503.519	-115.356	-105.102	-1.963	0.000	-3.141	21346	0.171	56.367	-6.598	-11.248	0.271	-0.057	-0.139	-0.454	-1.575	1.776	-0.587	0.059	-0.112	-0.495	0.987	0.355	-1.695	-0.571	0.565	-0.975	
0.00226	0.07073	0.11007	503.517	-115.354	-105.102	-2.073	0.000	-3.141	21615	0.113	56.235	-6.609	-11.252	0.172	0.021	0.145	-0.769	-1.554	1.694	-0.673	0.144	-0.117	-0.495	0.987	0.355	-1.695	-0.571	0.565	-0.904	
0.00246	0.35708	0.39336	503.515	-115.354	-105.102	-2.467	0.000	-3.142	21897	0.175	56.347	-6.667	-11.248	0.149	-0.089	0.050	-1.340	-1.129	1.702	-0.587	0.394	-0.117	-0.495	0.987	0.355	-1.695	-0.571	0.565	-0.547	
0.00156	0.44128	0.43792	503.513	-115.353	-105.102	-2.905	0.000	-3.142	22178	0.171	56.386	-6.621	-11.236	0.369	-0.058	0.028	-1.713	-0.441	1.706	-0.391	0.604	-0.112	-0.495	0.987	0.355	-1.695	-0.571	0.565	-0.106	
0.00167	0.44041	0.43109	503.512	-115.352	-105.103	2.947	0.000	-3.142	22461	0.122	56.382	-6.547	-11.314	0.313	-0.047	-0.072	-1.744	0.151	1.679	-0.205	0.710	-0.144	-0.495	0.987	0.355	-1.695	-0.571	0.565	0.335	
0.00057	0.24629	0.19487	503.512	-115.352	-105.103	2.753	0.000	3.142	22739	0.172	56.360	-6.588	-11.277	0.312	-0.032	-0.100	-1.680	0.364	1.685	-0.120	0.693	-0.125	-0.495	0.987	0.355	-1.695	-0.571	0.565	0.581	
0.00952	0.01502	0.00354	503.507	-115.349	-105.111	2.749	0.000	3.142	22964	0.359	54.222	-6.430	-11.120	0.544	0.132	-0.162	-1.459	0.419	1.367	-0.089	0.773	-0.075	-0.495	0.987	0.355	-1.695	-0.571	0.565	0.596	
15.02511	0.04261	0.00042	503.361	-115.331	-120.135	2.749	-0.000	-3.141	23254	0.056	58.549	-7.402	-11.274	0.622	0.245	-0.132	-1.186	1.095	-0.009	0.270	0.721	-0.023	-0.496	1.013	0.355	-1.686	-0.595	0.553	0.613	
15.01470	0.06831	0.00029	503.450	-115.339	-135.149	2.749	-0.000	3.142	23535	0.358	57.370	-6.940	-10.483	0.563	0.066	-0.086	-1.488	1.049	0.981	0.242	0.746	0.014	-0.496	1.055	0.355	-1.670	-0.635	0.535	0.642	
0.22225	0.00137	0.00070	503.616	-115.406	-135.018	2.750	0.000	3.142	23743	0.376	57.153	-6.962	-10.364	0.665	0.121	0.145	-1.068	1.176	1.103	0.371	0.490	0.150	-0.496	1.055	0.355	-1.670	-0.635	0.534	0.642	
0.16854	0.11745	0.16394	503.516	-115.350	-135.141	2.914	0.000	3.142	24033	0.475	57.183	-6.907	-10.373	0.538	0.096	0.145	-1.407	0.911	1.195	0.264	0.612	0.164	-0.496	1.056	0.355	-1.670	-0.635	0.534	0.525	
0.01068	0.24380	0.21569	503.526	-115.352	-135.139	3.129	0.000	-3.142	24313	0.382	57.172	-6.930	-10.356	0.547	0.085	0.108	-1.513	0.747	1.152	0.199	0.659	0.181	-0.496	1.056	0.355	-1.670	-0.635	0.534	0.281	
0.00234	0.03122	0.01244	503.528	-115.353	-135.138	-3.142	0.000	-3.142	24542	-0.255	57.003	-7.040	-10.482	0.269	-0.044	0.129	-0.962	0.441	0.857	0.042	0.411	0.138	-0.496	1.056	0.355	-1.670	-0.635	0.534	0.250	
5.23573	0.01798	0.00020	508.763	-115.331	-135.161	-3.142	0.000	3.142	24814	0.227	57.840	-6.696	-10.777	0.291	-0.140	0.139	-0.552	0.067	1.394	-0.135	0.124	0.045	-0.493	1.060	0.355	-1.657	-0.628	0.541	0.244	
4.78034	0.02765	0.00028	513.544	-115.317	-135.164	3.142	0.000	-3.142	25094	-0.042	58.059	-7.061	-10.734	0.322	-0.048	0.111	-1.017	0.108	1.236	-0.109	0.340	0.051	-0.487	1.066	0.355	-1.637	-0.618	0.552	0.234	
1.67495	0.00135	0.00036	515.208	-115.434	-135.018	3.141	0.000	-3.141	25328	-0.099	58.506	-7.061	-10.874	0.252	-0.196	0.124	-0.570	0.229	0.827	-0.033	0.080	0.042	-0.487	1.066	0.355	-1.636	-0.618	0.552	0.234	
7.01206	0.03202	0.00014	522.220	-115.383	-135.072	3.141	0.000	-3.142	25611	0.038	58.629	-7.063	-11.274	0.308	-0.091	0.097	-0.935	0.127	1.720	-0.121	0.220	0.034	-0.481	1.074	0.355	-1.614	-0.606	0.565	0.223	
